iter	Passed	Remaining
482	620	664
483	621	662
484	621	660
485	622	658
486	622	656
487	624	655
488	626	654
489	626	652
490	627	650
491	627	648
492	628	646
493	629	644
494	636	649
495	638	648
496	642	650
497	643	648
498	644	647
499	645	645
500	646	643
501	646	641
502	647	639
503	647	637
504	648	635
505	650	634
506	650	632
507	651	630
508	651	628
509	652	626
510	653	625
511	655	624
512	656	623
513	657	621
514	657	619
515	658	617
516	658	615
517	659	613
518	660	611
519	660	609
520	663	609
521	663	607
522	664	606
523	665	604
524	665	602
525	666	600
526	670	601
527	670	599
528	671	597
529	671	595
530	673	595
531	674	593
532	675	591
533	675	589
534	676	588
535	677	586
536	678	584
537	680	584
538	680	582
539	681	580
540	682	578
541	683	577
542	684	576
543	685	574
544	687	573
545	687	571
546	688	570
547	689	569
548	693	569
549	693	567
550	694	565
551	695	564
552	699	565
553	699	563
554	700	561
555	700	559
556	701	557
557	702	556
558	703	555
559	704	553
560	705	551
561	705	550
562	706	548
563	706	546
564	707	544
565	708	543
566	709	541
567	709	539
568	710	538
569	711	536
570	713	535
571	714	534
572	714	532
573	715	531
574	721	533
575	722	531
576	722	529
577	723	528
578	723	526
579	724	524
580	728	525
581	729	524
582	730	522
583	731	520
584	731	518
585	732	517
586	733	515
587	733	514
588	734	512
589	734	510
590	735	508
591	736	507
592	737	505
593	739	505
594	739	503
595	740	501
596	740	500
597	741	498
598	742	496
599	743	495
600	744	493
601	744	492
602	746	491
603	746	489
604	747	487
605	748	486
606	749	484
607	749	483
608	750	481
609	750	480
610	754	480
611	754	478
612	755	476
613	756	475
614	756	473
615	757	472
616	758	470
617	758	469
618	759	467
619	760	466
620	761	464
621	762	463
622	762	461
623	763	459
624	763	458
625	764	456
626	764	455
627	765	453
628	766	452
629	767	450
630	768	449
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	777	433
642	778	432
643	779	430
644	779	429
645	780	427
646	780	426
647	781	424
648	782	423
649	783	421
650	784	420
651	784	418
652	785	417
653	786	415
654	786	414
655	787	412
656	788	411
657	789	410
658	790	408
659	790	407
660	792	406
661	792	404
662	793	403
663	794	402
664	795	400
665	795	399
666	796	397
667	797	396
668	798	394
669	799	393
670	800	392
671	801	391
672	801	389
673	802	388
674	803	386
675	803	385
676	804	383
677	804	382
678	805	380
679	806	379
680	807	378
681	807	376
682	808	375
683	810	374
684	810	372
685	811	371
686	812	370
687	812	368
688	813	367
689	814	365
690	815	364
691	815	363
692	816	361
693	817	360
694	818	359
695	818	357
696	819	356
697	820	354
698	820	353
699	821	351
700	822	350
701	822	349
702	823	347
703	823	346
704	825	345
705	826	344
706	827	343
707	828	341
708	829	340
709	829	339
710	830	337
711	831	336
712	831	334
713	832	333
714	832	332
715	833	330
716	834	329
717	835	328
718	836	326
719	837	325
720	837	324
721	838	322
722	839	321
723	839	320
724	840	318
725	841	317
726	841	316
727	842	314
728	843	313
729	845	312
730	846	311
731	846	309
732	847	308
733	848	307
734	848	305
735	849	304
736	850	303
737	851	302
738	852	301
739	853	299
740	854	298
741	855	297
742	855	296
743	856	294
744	857	293
745	857	291
746	861	291
747	861	290
748	862	289
749	863	287
750	864	286
751	865	285
752	865	284
753	866	282
754	867	281
755	868	280
756	868	278
757	869	277
758	869	276
759	870	274
760	871	273
761	873	272
762	874	271
763	874	270
764	875	268
765	875	267
766	876	266
767	877	265
768	877	263
769	881	263
770	883	262
771	884	261
772	885	260
773	885	258
774	886	257
775	887	256
776	888	254
777	888	253
778	889	252
779	890	251
780	890	249
781	891	248
782	892	247
783	893	246
784	893	244
785	894	243
786	894	242
787	895	240
788	896	239
789	896	238
790	900	237
791	900	236
792	901	235
793	902	234
794	902	232
795	903	231
796	904	230
797	907	229
798	908	228
799	908	227
800	909	226
801	910	224
802	913	224
803	913	222
804	914	221
805	915	220
806	915	219
807	916	217
808	916	216
809	917	215
810	918	213
811	919	212
812	919	211
813	920	210
814	921	209
815	923	208
816	923	206
817	924	205
818	924	204
819	925	203
820	926	202
821	927	200
822	929	199
823	930	198
824	930	197
825	931	196
826	932	194
827	932	193
828	934	192
829	935	191
830	936	190
831	936	189
832	938	188
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	947	181
839	948	180
840	948	179
841	949	178
842	950	176
843	950	175
844	951	174
845	952	173
846	952	172
847	953	170
848	954	169
849	955	168
850	956	167
851	958	166
852	959	165
853	959	164
854	960	162
855	967	162
856	968	161
857	969	160
858	973	159
859	974	158
860	977	157
861	978	156
862	979	155
863	980	154
864	981	153
865	981	151
866	982	150
867	983	149
868	987	148
869	987	147
870	988	146
871	988	145
872	993	144
873	993	143
874	994	142
875	995	140
876	995	139
877	998	138
878	999	137
879	999	136
880	1000	135
881	1000	133
882	1001	132
883	1001	131
884	1002	130
885	1005	129
886	1005	128
887	1006	126
888	1007	125
889	1007	124
890	1008	123
891	1010	122
892	1012	121
893	1012	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1016	114
899	1017	113
900	1018	111
901	1019	110
902	1019	109
903	1020	108
904	1020	107
905	1021	106
906	1022	104
907	1023	103
908	1025	102
909	1025	101
910	1026	100
911	1026	99
912	1027	97
913	1028	96
914	1029	95
915	1030	94
916	1031	93
917	1031	92
918	1032	91
919	1033	89
920	1034	88
921	1034	87
922	1035	86
923	1036	85
924	1037	84
925	1038	82
926	1039	81
927	1040	80
928	1041	79
929	1044	78
930	1045	77
931	1046	76
